application_number,ticker,sponsor_name,brand_name,approval_date,pct_change_day3,direction,volatility_30d,generic_name,is_priority_review,filing_found,filing_text,phase_num,enrollment,phase,primary_endpoint,trial_found,approval_year,approval_month,approval_quarter
BLA761106,RHHBY,GENENTECH INC,HERCEPTIN HYLECTA,2026-05-18,1.66,1,1.3048,TRASTUZUMAB AND HYALURONIDASE-OYSK,0,False,,0,0,UNKNOWN,,False,2026,5,2
NDA219878,AZN,ASTRAZENECA PHARMS,BAXFENDY,2026-05-15,-0.17,0,1.293,BAXDROSTAT,1,False,,3,218,PHASE3,Change from baseline in ambulatory 24-hour average SBP,True,2026,5,2
NDA213535,RHHBY,GENENTECH INC,EVRYSDI,2026-02-10,2.63,1,1.5481,RISDIPLAM,0,True,"8-K filing found for Genentech Inc, filed on 2026-02-12",1,33,PHASE1,Percentage of Participants with Adverse Events (AEs),True,2026,2,1
NDA219884,ACAD,ACADIA PHARMS INC,DAYBUE STIX,2025-12-11,1.68,1,2.4104,TROFINETIDE,0,False,,2,261,PHASE2,"Reduced incidence, compared to placebo, of adverse events (AEs) and serious adverse events (SAEs)",True,2025,12,4
NDA218160,LLY,ELI LILLY AND CO,RETEVMO,2025-11-20,1.96,1,1.7002,SELPERCATINIB,0,False,,1,16,PHASE1,"Pharmacokinetics (PK): Area Under the Concentration-time Curve, From Time 0 to the Last Observed Non-zero Concentration (AUC0-t) of Midazolam and Its Metabolite 1-hydroxymidazolam (1-OH-midazolam)",True,2025,11,4
NDA219208,NVS,NOVARTIS,VANRAFIA,2025-04-02,-3.43,0,1.3201,ATRASENTAN HYDROCHLORIDE,0,True,"8-K filing found for Novartis, filed on 2025-04-01",3,1038,PHASE3,Compare Survival Between a Control or Standard Therapy Arm of Docetaxel + Placebo + Prednisone With Docetaxel + Atrasentan + Prednisone in Patients With Hormone Refractory Prostate Cancer.,True,2025,4,2
NDA209299,RIGL,RIGEL PHARMS,TAVALISSE,2025-02-04,15.26,1,4.8276,FOSTAMATINIB DISODIUM,0,False,,3,76,PHASE3,"Number of Participants With Stable Platelet Response (Count of ≥50,000/µL on at Least 4 of the Last 6 Scheduled Visits Between Weeks 14 and 24)",True,2025,2,1
NDA219209,VRTX,VERTEX PHARMS INC,JOURNAVX,2025-01-30,6.53,1,1.2589,SUZETRIGINE,1,False,,1,37,PHASE1,Maximum Observed Plasma Concentration (Cmax) of Midazolam in the Absence and Presence of VX-548,True,2025,1,1
NDA204353,JNJ,JANSSEN PHARMS,INVOKAMET,2024-12-18,-1.33,0,0.9682,CANAGLIFLOZIN,1,False,,4,3591,PHASE4,21 Day Organ Support (Respiratory or Vasopressor) Free Days,True,2024,12,4
BLA761113,SNY,SANOFI AVENTIS US,SARCLISA,2024-10-25,3.42,1,0.9419,ISATUXIMAB-IRFC,0,False,,0,0,UNKNOWN,,False,2024,10,4
NDA214770,MRK,MSD MERCK CO,NOXAFIL POWDERMIX KIT,2024-10-25,-2.03,0,0.9827,POSACONAZOLE,0,False,,4,113,PHASE4,Time to Failure,True,2024,10,4
NDA021366,AZN,ASTRAZENECA,CRESTOR,2024-07-31,5.02,1,0.9683,ROSUVASTATIN CALCIUM,0,True,"8-K filing found for Astrazeneca, filed on 2024-08-07",4,125,PHASE4,Infarct size measured by cardiac MRI,True,2024,7,3
