application_number,ticker,sponsor_name,brand_name,approval_date,pct_change_day3,direction,volatility_30d,generic_name,is_priority_review,filing_found,filing_text,phase_num,enrollment,phase,primary_endpoint,trial_found,approval_year,approval_month,approval_quarter
NDA206333,ABBV,ABBVIE,KYBELLA,2022-10-05,-2.27,0,0.6259269530092566,DEOXYCHOLIC ACID,-0.5855400437691198,1.1618950038622253,"8-K filing found for Abbvie, filed on 2022-10-05",0.7699437326835237,0.59020691699507,PHASE3,Percentage of Participants With at Least a 1-Grade Reduction (Improvement) at 12 Weeks From Last Treatment Based on Both the Clinician-Reported Submental Fat Rating Scale (CR-SMFRS) and Patient-Reported Submental Fat Rating Scale (PR-SMFRS) Assessments,0.8237544710479143,2022,1.183832696800776,1.5077761018761282
BLA761149,RHHBY,GENENTECH,ENSPRYNG,2022-09-14,0.91,1,-0.36992861440046954,SATRALIZUMAB,-0.5855400437691198,1.1618950038622253,"8-K filing found for Genentech, filed on 2022-09-09",0.7699437326835237,0.9091163981252138,PHASE3,Number of Participants With Adverse Events (AEs) and Serious Adverse Events (SAEs),0.8237544710479143,2022,0.8940403178964194,0.6328936723924489
NDA212018,JNJ,JANSSEN BIOTECH,BALVERSA,2022-04-27,-2.29,0,-0.4877813442714429,ERDAFITINIB,-0.5855400437691198,1.1618950038622253,"8-K filing found for Janssen Biotech, filed on 2022-05-04",0.1565987252915641,0.40532665332544493,PHASE2,Objective Response Rate (ORR),0.8237544710479143,2022,-0.5549215766253639,-0.24198875709123052
NDA212728,PFE,PFIZER,NURTEC ODT,2022-03-31,-2.86,0,0.6692799214975077,RIMEGEPANT SULFATE,1.7078251276599332,1.1618950038622253,"8-K filing found for Pfizer, filed on 2022-03-29",1.3832887400754834,1.454685372192543,PHASE4,Number of Participants With On-Treatment Adverse Events (AEs) (Frequency >=5%) According to Intensity,0.8237544710479143,2022,-0.8447139555297205,-1.11687118657491
NDA211349,ALPMY,ASTELLAS,XOSPATA,2022-01-12,0.61,1,-0.524540171921675,GILTERITINIB FUMARATE,-0.5855400437691198,1.1618950038622253,"8-K filing found for Astellas, filed on 2022-01-13",-1.070091289492355,-1.094159119943904,UNKNOWN,,-1.2139539573337683,2022,-1.4242987133384337,-1.11687118657491
BLA761103,PFE,PFIZER INC,RUXIENCE,2021-11-15,2.29,1,1.4720814933090676,RITUXIMAB-PVVR,-0.5855400437691198,1.1618950038622253,"8-K filing found for Pfizer Inc, filed on 2021-11-19",0.1565987252915641,0.665250240527823,PHASE2,Number of Participants Who Achieved a Complete Response,0.8237544710479143,2021,1.4736250757051326,1.5077761018761282
NDA213895,HIK,HIKMA,VANCOMYCIN,2021-08-26,0.0,0,-2.0961905052724434,VANCOMYCIN,1.7078251276599332,-0.8606629658238706,,1.3832887400754834,1.904489432003525,PHASE4,The Incidence of CDI in Inpatients Receiving Vancomycin Prophylaxis vs. Placebo Who Are on High-risk Antibiotics and Are Colonized With Toxigenic C. Difficile.,0.8237544710479143,2021,0.6042479389920627,0.6328936723924489
BLA761109,LLY,ELI LILLY AND CO,LYUMJEV,2021-08-13,3.51,1,-0.34495505973733465,INSULIN LISPRO-AABC,-0.5855400437691198,-0.8606629658238706,,1.3832887400754834,1.0052688069129372,PHASE4,Percentage of Participants with at least 1 Episode of Hypoglycemia,0.8237544710479143,2021,0.6042479389920627,0.6328936723924489
NDA215110,ABBV,ABBVIE,MAVYRET,2021-06-10,1.23,1,-0.7992492732161587,GLECAPREVIR,1.7078251276599332,1.1618950038622253,"8-K filing found for Abbvie, filed on 2021-06-09",0.7699437326835237,0.8369894733180127,PHASE3,Percentage of Participants With Sustained Virologic Response 12 Weeks Post-treatment (SVR12),0.8237544710479143,2021,0.024663181183349408,-0.24198875709123052
NDA020776,PFE,PFIZER,DAYPRO ALTA,2021-04-28,0.52,1,-0.56592892824541,OXAPROZIN POTASSIUM,-0.5855400437691198,1.1618950038622253,"8-K filing found for Pfizer, filed on 2021-05-04",-0.45674628210039553,-0.020883064557141527,PHASE1,Pharmacokinetics (Cmax: Maximum plasma concentration),0.8237544710479143,2021,-0.5549215766253639,-0.24198875709123052
