application_number,trial_found,phase_num,enrollment,phase,primary_endpoint,nct_id,trial_title
BLA761106,False,0,0,UNKNOWN,,,
NDA219878,True,3,218,PHASE3,Change from baseline in ambulatory 24-hour average SBP,NCT06168409,A Study to Investigate the Effect of Baxdrostat on Ambulatory Blood Pressure in Participants With Resistant Hypertension
NDA215192,True,3,24,PHASE3,Mean Hb Level of Week 20 and Week 24,NCT03461146,Efficacy and Safety Study to Evaluate MT-6548 in Hemodialysis Subjects Not Receiving ESAs With Anemia Associated With Chronic Kidney Disease in Japan
NDA219164,True,2,57,PHASE2,Annualized Height Velocity (cm/Year) After 52 Weeks of Double-blind Treatment,NCT04085523,"A Dose Escalation Trial Evaluating Safety, Efficacy, and Pharmacokinetics of TransCon CNP Administered Once Weekly in Prepubertal Children With Achondroplasia"
NDA219873,True,4,324,PHASE4,The number of children who responded to the treatment,NCT03389412,The Effect of Selecting Treatment With Desmopressin or Alarm to Children With Enuresis Based on Home Recordings.
NDA213535,True,1,33,PHASE1,Percentage of Participants with Adverse Events (AEs),NCT02633709,"A Study to Investigate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of Risdiplam (RO7034067) Given by Mouth in Healthy Volunteers"
NDA017854,True,4,99,PHASE4,0-10 Pain Score,NCT03269435,Greater Occipital Nerve Block Versus Metoclopramide
NDA218171,True,1,32,PHASE1,Cmax,NCT05665283,A Single Dose BE Study of X-396 in Healthy Volunteers Under Fasted Conditions
BLA761152,False,0,0,UNKNOWN,,,
NDA219884,True,2,261,PHASE2,"Reduced incidence, compared to placebo, of adverse events (AEs) and serious adverse events (SAEs)",NCT00805818,Study of NNZ-2566 in Patients With Traumatic Brain Injury
BLA761100,True,3,3270,PHASE3,Percentage of Patients Alive and Free From Invasive Disease (IDFS),NCT01275677,Chemotherapy With or Without Trastuzumab After Surgery in Treating Women With Invasive Breast Cancer
NDA218160,True,1,16,PHASE1,"Pharmacokinetics (PK): Area Under the Concentration-time Curve, From Time 0 to the Last Observed Non-zero Concentration (AUC0-t) of Midazolam and Its Metabolite 1-hydroxymidazolam (1-OH-midazolam)",NCT05338476,A Study of Effects of Selpercatinib (LY3527723) on Midazolam in Healthy Participants
NDA218637,True,1,64,PHASE1,Assessment of bioequivalence of two different formulations of trazodone hydrochloride tablets 150 mg,NCT06773767,Bioavailability of Trazodone Hydrochloride (New Polymer) vs. Trazodone Hydrochloride Contramid® at Steady-state.
NDA219910,True,4,30,PHASE4,Mortality,NCT01595737,Comparison of the Administration of Levosimendan and Placebo in the Preparation of Critical Patients for Heart Surgery
NDA219868,True,3,124,PHASE3,Change in hemoglobin,NCT03657433,Intravenous Infusions of Ferumoxytol Compared to Oral Ferrous Sulfate for the Treatment of Anemia in Pregnancy
NDA217294,True,4,100,PHASE4,the percentage of responders to the diuretic treatment; the percentage of patients who develop adverse effects to diuretics,NCT00741663,Spironolactone Versus Spironolactone Plus Furosemide (SVSSF)
NDA019079,True,4,131,PHASE4,Change in Intraocular Pressure (IOP) From Baseline Through Month 3,NCT03123614,Loteprednol vs. Prednisolone and Fluorometholone
NDA022437,True,4,50,PHASE4,Prevalence of oocyte dysmorphisms among the studied groups:,NCT04727684,Effect of GnRH Agonist vs GnRH Antagonist on Oocyte Morphology in Polycystic Ovary Syndrome Patients During IVF/ICSI
NDA217307,True,4,60,PHASE4,Mean Change From Baseline in IOP at Week 12 in Subjects Using Ganfort® at Baseline,NCT01327599,Efficacy of Changing to DUOTRAV® From Prior Therapy
NDA217700,True,1,149,PHASE1,"Number of Participants Reporting One or More Treatment-emergent Adverse Events (TEAEs), Serious Adverse Events (SAEs) and Deaths",NCT01425008,Study of MLN2480 in Participants With Relapsed or Refractory Solid Tumors Followed by a Dose Expansion in Participants With Metastatic Melanoma
NDA218643,True,4,10,PHASE4,Pain score,NCT02246179,Fractional Laser Assisted Delivery of Anesthetics
NDA219876,False,0,0,UNKNOWN,,,
NDA019531,True,2,57,PHASE2,Plasma Levels of Triglycerides and Lipoprotein Cholesterol,NCT00167310,Decreasing Risk of Coronary Artery Disease in Schizophrenia by Omega-3 Fatty Acid Supplementation
BLA761107,True,4,13,PHASE4,Permanent Discontinuation of Study Drug Due to Emapalumab-related Adverse Event,NCT05744063,A Post-authorization Study to Describe the Safety and Efficacy of Emapalumab for the Treatment of pHLH in Treatment Experienced Chinese Patients
NDA019127,True,4,1318,PHASE4,Surgical site infections,NCT03962907,Preoperative Decolonization and Surgical Site Infections in Orthopaedic Surgery - 2 Year Outcome in Prosthetic Surgery
NDA216873,False,0,0,UNKNOWN,,,
NDA218158,True,1,47,PHASE1,Number of adverse events in each study group,NCT03089775,Evaluation of Safety and Efficacy of BBI-2000 in Treating and Preventing Contact Dermatitis
NDA219208,True,3,1038,PHASE3,Compare Survival Between a Control or Standard Therapy Arm of Docetaxel + Placebo + Prednisone With Docetaxel + Atrasentan + Prednisone in Patients With Hormone Refractory Prostate Cancer.,NCT00134056,"S0421, Docetaxel and Prednisone With or Without Atrasentan in Treating Patients With Stage IV Prostate Cancer and Bone Metastases That Did Not Respond to Previous Hormone Therapy"
NDA218647,True,3,1711,PHASE3,"Change From Baseline to Week 8 in Trough, Systolic Blood Pressure as Measured by Ambulatory Blood Pressure Monitoring (Pooled Analysis)",NCT00847626,Efficacy and Safety of Azilsartan Medoxomil Combined With Chlorthalidone in Participants With Moderate to Severe Hypertension
NDA203168,True,4,77,PHASE4,Visual Analog Scale Pain Score,NCT07090044,"Comparing Post-intravitreal Injection Pain Scores Using Loteprednol, Bromfenac Sodium, and Artificial Tears Over a 24-hour Period"
NDA209299,True,3,76,PHASE3,"Number of Participants With Stable Platelet Response (Count of ≥50,000/µL on at Least 4 of the Last 6 Scheduled Visits Between Weeks 14 and 24)",NCT02076399,A Efficacy and Safety Study of R935788 in the Treatment of Persistent/Chronic Immune Thrombocytopenic Purpura (ITP)
NDA219209,True,1,37,PHASE1,Maximum Observed Plasma Concentration (Cmax) of Midazolam in the Absence and Presence of VX-548,NCT05541471,"A Study to Evaluate the Pharmacokinetic Drug-drug Interactions Between VX-548, Midazolam, and Digoxin"
BLA761150,False,0,0,UNKNOWN,,,
NDA204353,True,4,3591,PHASE4,21 Day Organ Support (Respiratory or Vasopressor) Free Days,NCT04505774,Accelerating COVID-19 Therapeutic Interventions and Vaccines 4 ACUTE
NDA202106,True,2,12,PHASE2,Area Under the Curve (AUC),NCT07113574,Pharmacokinetics of Meropenem and Aztreonam After Intraperitoneal Administration Via Cycler-therapy in APD Patients Without Peritonitis
NDA210661,False,0,0,UNKNOWN,,,
NDA020998,True,2,120,PHASE2,,NCT00006299,Celebrex for Pain Relief After Oral Surgery
BLA761113,False,0,0,UNKNOWN,,,
