application_number,sponsor_name,brand_name,generic_name,approval_date,decision,is_priority_review
BLA761106,GENENTECH INC,HERCEPTIN HYLECTA,TRASTUZUMAB AND HYALURONIDASE-OYSK,2026-05-18,AP,False
NDA219878,ASTRAZENECA PHARMS,BAXFENDY,BAXDROSTAT,2026-05-15,AP,True
NDA215192,AKEBIA,VAFSEO,VADADUSTAT,2026-04-01,AP,False
NDA219164,ASCENDIS,YUVIWEL,NAVEPEGRITIDE,2026-02-27,AP,True
NDA219873,ETON,DESMODA,DESMOPRESSIN ACETATE,2026-02-25,AP,False
NDA213535,GENENTECH INC,EVRYSDI,RISDIPLAM,2026-02-10,AP,False
NDA017854,ANI PHARMS,REGLAN,METOCLOPRAMIDE HYDROCHLORIDE,2026-02-09,AP,False
NDA218171,XCOVERY,ENSACOVE,ENSARTINIB HYDROCHLORIDE,2026-01-08,AP,False
BLA761152,OMEROS CORP,YARTEMLEA,NARSOPLIMAB-WUUG,2025-12-23,AP,True
NDA219884,ACADIA PHARMS INC,DAYBUE STIX,TROFINETIDE,2025-12-11,AP,False
BLA761100,SAMSUNG BIOEPIS CO LTD,ONTRUZANT,TRASTUZUMAB-DTTB,2025-12-05,AP,False
NDA218160,ELI LILLY AND CO,RETEVMO,SELPERCATINIB,2025-11-20,AP,False
NDA218637,KAMAT,RALDESY,TRAZODONE HYDROCHLORIDE,2025-11-13,AP,False
NDA219910,GLAUKOS,EPIOXA HD/EPIOXA KIT,RIBOFLAVIN 5'-PHOSPHATE SODIUM,2025-10-17,AP,False
NDA219868,AZURITY,FERABRIGHT,FERUMOXYTOL,2025-10-16,AP,False
NDA217294,SQ INNOVATION,LASIX ONYU,FUROSEMIDE,2025-10-07,AP,False
NDA019079,HARROW EYE,FLAREX,FLUOROMETHOLONE ACETATE,2025-09-23,AP,False
NDA022437,VERITY,TRELSTAR,TRIPTORELIN PAMOATE,2025-09-23,AP,False
NDA217307,THEA PHARMA,ZOLYMBUS,BIMATOPROST,2025-09-09,AP,False
NDA217700,DAY ONE BIOPHARMS,OJEMDA,TOVORAFENIB,2025-08-27,AP,False
NDA218643,THEA PHARMA,CYKLX,ARTICAINE HYDROCHLORIDE,2025-08-15,AP,False
NDA219876,CHIMERIX,MODEYSO,DORDAVIPRONE HYDROCHLORIDE,2025-08-06,AP,True
NDA019531,B BRAUN,NUTRILIPID 10%,SOYBEAN OIL,2025-07-24,AP,False
BLA761107,NOVIMMUNE S.A.,GAMIFANT,EMAPALUMAB-LZSG,2025-06-27,AP,True
NDA019127,XTTRIUM,EXIDINE,CHLORHEXIDINE GLUCONATE,2025-05-27,AP,False
NDA216873,GLAXOSMITHKLINE,OJJAARA,MOMELOTINIB DIHYDROCHLORIDE,2025-04-18,AP,False
NDA218158,HARROW EYE,BYQLOVI,CLOBETASOL PROPIONATE,2025-04-07,AP,False
NDA219208,NOVARTIS,VANRAFIA,ATRASENTAN HYDROCHLORIDE,2025-04-02,AP,False
NDA218647,PRM PHARMA,HEMICLOR,CHLORTHALIDONE,2025-03-17,AP,False
NDA203168,BAUSCH AND LOMB,PROLENSA,BROMFENAC SODIUM,2025-02-18,AP,False
NDA209299,RIGEL PHARMS,TAVALISSE,FOSTAMATINIB DISODIUM,2025-02-04,AP,False
NDA219209,VERTEX PHARMS INC,JOURNAVX,SUZETRIGINE,2025-01-30,AP,True
BLA761150,MACROGENICS INC,MARGENZA,MARGETUXIMAB-CMKB,2025-01-15,AP,False
NDA204353,JANSSEN PHARMS,INVOKAMET,CANAGLIFLOZIN,2024-12-18,AP,True
NDA202106,B BRAUN MEDICAL,MEROPENEM AND SODIUM CHLORIDE IN DUPLEX CONTAINER,MEROPENEM,2024-12-03,AP,False
NDA210661,AVYXA HOLDINGS,AXTLE,PEMETREXED DIPOTASSIUM,2024-12-02,AP,False
NDA020998,UPJOHN,CELEBREX,CELECOXIB,2024-11-21,AP,False
NDA214770,MSD MERCK CO,NOXAFIL POWDERMIX KIT,POSACONAZOLE,2024-10-25,AP,False
BLA761113,SANOFI AVENTIS US,SARCLISA,ISATUXIMAB-IRFC,2024-10-25,AP,False
NDA021366,ASTRAZENECA,CRESTOR,ROSUVASTATIN CALCIUM,2024-07-31,AP,False
NDA217779,GERON,RYTELO,IMETELSTAT SODIUM,2024-06-06,AP,False
NDA213498,VANDA PHARMS INC,PONVORY,PONESIMOD,2024-06-05,AP,False
NDA022427,ABBVIE,ACUVAIL,KETOROLAC TROMETHAMINE,2024-05-24,AP,False
NDA216482,AZURITY,MYHIBBIN,MYCOPHENOLATE MOFETIL,2024-05-01,AP,False
NDA211675,ABBVIE,RINVOQ,UPADACITINIB,2024-04-26,AP,False
NDA216483,ALEMBIC THERAP,PIVYA,PIVMECILLINAM HYDROCHLORIDE,2024-04-24,AP,True
